"Tirada";"Interrupt";"t"
102;4;65588
102;5;80516
102;6;93320
102;7;106044
102;8;116912
102;9;128780
102;10;138216
103;1;200
103;2;28148
103;3;48460
103;4;65040
103;5;80200
103;6;93004
103;7;105540
103;8;116356
103;9;128316
103;10;137760
103;11;148064
103;12;156576
104;1;200
104;2;33348
104;3;55620
104;4;72964
104;5;88500
104;6;101676
104;7;114776
104;8;125780
104;9;138084
104;10;147708
104;11;158336
104;12;166948
105;1;124
105;2;26620
105;3;46852
105;4;62864
105;5;78064
105;6;90692
105;7;103220
105;8;113992
105;9;125940
105;10;135376
105;11;145668
105;12;154208
106;1;168
106;2;33236
106;3;55188
106;4;72340
106;5;87760
106;6;100852
106;7;113872
106;8;124888
106;9;137028
106;10;146600
106;11;157072
106;12;165708
107;1;168
107;2;27828
107;3;48348
107;4;64808
107;5;79780
107;6;92656
107;7;105232
107;8;116052
107;9;127992
107;10;137440
107;11;147712
107;12;156064
108;1;116
108;2;25628
108;3;45020
108;4;60876
108;5;75396
108;6;87892
108;7;100480
108;8;111084
108;9;122992
108;10;132216
108;11;142656
108;12;151008
109;1;88
109;2;24480
109;3;43680
109;4;59192
109;5;73796
109;6;86160
109;7;98424
109;8;109000
109;9;120744
109;10;129980
109;11;140152
109;12;148448
110;1;164
110;2;25568
110;3;45172
110;4;60964
110;5;75640
110;6;88108
110;7;100720
110;8;111300
110;9;123228
110;10;132472
110;11;142864
110;12;151256
111;1;156
111;2;29556
111;3;50944
111;4;67736
111;5;82996
111;6;96024
111;7;108800
111;8;119836
111;9;131788
111;10;141428
111;11;151748
111;12;160468
112;1;244
112;2;29412
112;3;50344
112;4;66916
112;5;82148
112;6;95052
112;7;107732
112;8;118636
112;9;130744
112;10;140256
112;11;150684
112;12;159300
113;1;152
113;2;30760
113;3;52156
113;4;68952
113;5;84292
113;6;97212
113;7;110092
113;8;120936
113;9;133088
113;10;142440
113;11;152984
113;12;161660
114;1;296
114;2;31656
114;3;53640
114;4;70608
114;5;86392
114;6;99484
114;7;112284
114;8;123320
114;9;135440
114;10;145048
114;11;155508
114;12;164140
115;1;268
115;2;656
115;3;41260
115;4;66032
115;5;84152
115;6;100620
115;7;114288
115;8;127492
115;9;138832
115;10;151312
115;11;161292
115;12;172204
115;13;181656
