"Tirada";"Interrupt";"t"
57;8;128660
57;9;139792
57;10;150360
57;11;159900
57;12;169348
58;1;0
58;2;41476
58;3;62784
58;4;81912
58;5;97004
58;6;111468
58;7;123100
58;8;135260
58;9;146436
58;10;157076
58;11;166608
58;12;176176
59;1;0
59;2;27044
59;3;44400
59;4;61544
59;5;75020
59;6;88640
59;7;99724
59;8;111376
59;9;122140
59;10;132380
59;11;141632
59;12;150952
60;1;0
60;2;28004
60;3;45564
60;4;62904
60;5;76288
60;6;89944
60;7;101180
60;8;112928
60;9;123676
60;10;133996
60;11;143304
60;12;152580
61;1;0
61;2;25292
61;3;41892
61;4;58572
61;5;71572
61;6;84968
61;7;95944
61;8;107408
61;9;118064
61;10;128192
61;11;137392
61;12;146524
62;1;0
62;2;24708
62;3;41116
62;4;57716
62;5;70796
62;6;84136
62;7;95076
62;8;106496
62;9;117104
62;10;127176
62;11;136292
62;12;145596
62;13;147288
63;1;0
63;2;131600
64;1;0
64;2;23472
64;3;39288
64;4;55396
64;5;68112
64;6;81152
64;7;91944
64;8;103264
64;9;113784
64;10;123856
64;11;132984
64;12;142080
65;1;0
65;2;21232
65;3;36020
65;4;51384
65;5;63384
65;6;76032
65;7;86524
65;8;97584
65;9;107920
65;10;117764
65;11;126748
65;12;135716
66;1;0
66;2;23180
66;3;38948
66;4;54996
66;5;67728
66;6;80808
66;7;91600
66;8;102892
66;9;113492
66;10;123512
66;11;132712
66;12;141920
66;13;144576
66;14;145204
67;1;0
67;2;20852
67;3;35524
67;4;50728
67;5;62840
67;6;75420
67;7;85844
67;8;96796
67;9;107044
67;10;116816
67;11;125756
67;12;134652
68;1;0
68;2;26640
68;3;43724
68;4;60728
68;5;74072
68;6;87616
68;7;98756
68;8;110372
68;9;121124
68;10;131384
68;11;140688
68;12;149972
69;1;0
69;2;132772
70;1;0
70;2;152192
71;1;0
71;2;32796
71;3;51840
71;4;70156
71;5;84192
71;6;98356
71;7;109848
71;8;121768
71;9;132804
71;10;143296
71;11;152728
71;12;162236
72;1;0
72;2;22828
72;3;38492
72;4;54380
72;5;67028
72;6;79952
72;7;90644
72;8;101864
72;9;112324
72;10;122288
72;11;131356
72;12;140396
73;1;0
73;2;25444
73;3;42224
73;4;58960
73;5;72164
73;6;85528
73;7;96540
73;8;108032
73;9;118688
73;10;128880
73;11;138096
73;12;147332
74;1;0
74;2;22732
74;3;38504
74;4;54400
74;5;67240
74;6;80276
74;7;90856
74;8;102020
74;9;112412
74;10;122388
74;11;131396
74;12;140540
74;13;143908
75;1;0
75;2;25920
75;3;42956
75;4;59836
75;5;73128
75;6;86592
75;7;97544
75;8;109044
75;9;119636
75;10;129852
75;11;139048
75;12;148368
76;1;0
76;2;21024
76;3;35584
76;4;50836
76;5;62704
76;6;75324
76;7;85652
76;8;96636
76;9;106800
76;10;116544
76;11;125324
76;12;134364
77;1;0
77;2;23868
77;3;39860
77;4;56140
77;5;68936
77;6;82108
77;7;92860
77;8;104232
77;9;114684
77;10;124776
77;11;133816
77;12;143052
78;1;0
78;2;19696
78;3;33536
78;4;49896
78;5;62688
78;6;76112
78;7;86976
78;8;98476
78;9;109064
78;10;119204
78;11;128308
78;12;137488
79;1;0
79;2;23552
79;3;39344
79;4;55548
79;5;68336
79;6;81544
79;7;92260
79;8;103644
79;9;114144
79;10;124260
79;11;133356
79;12;142608
79;13;144372
80;1;0
80;2;25800
80;3;42492
80;4;59360
80;5;72364
80;6;85776
80;7;96708
80;8;108252
80;9;118848
80;10;129092
80;11;138240
80;12;147628
81;1;0
81;2;21936
81;3;36812
81;4;52504
81;5;64552
81;6;77360
81;7;87724
81;8;98968
81;9;109180
81;10;119100
81;11;127940
81;12;137136
82;1;0
82;2;21040
82;3;35556
82;4;50872
82;5;63076
82;6;75856
82;7;86044
82;8;97132
82;9;107228
82;10;117224
82;11;125964
82;12;135700
83;1;0
83;2;23460
83;3;39108
83;4;55296
83;5;67740
83;6;80884
83;7;91388
83;8;102816
83;9;113140
83;10;123212
83;11;132160
83;12;141364
84;1;0
84;2;20232
84;3;34248
84;4;49292
84;5;60984
84;6;73512
84;7;83592
84;8;94584
84;9;104548
84;10;114440
84;11;123116
84;12;132220
85;1;0
85;2;24412
85;3;40072
85;4;56616
85;5;69064
85;6;82372
85;7;92868
85;8;104472
85;9;114772
85;10;125056
85;11;133928
85;12;143304
86;1;0
86;2;24812
86;3;40932
86;4;57596
86;5;70440
86;6;83912
86;7;94448
86;8;105988
86;9;116364
86;10;126624
86;11;135568
86;12;144920
87;1;0
87;2;20148
87;3;33968
87;4;48984
87;5;60404
87;6;72904
87;7;82812
87;8;93908
87;9;103788
87;10;113716
87;11;122352
87;12;131464
88;1;0
88;2;25932
88;3;42468
88;4;59564
88;5;72584
88;6;86364
88;7;96956
88;8;108668
88;9;119092
88;10;129472
88;11;138456
88;12;147936
88;13;150408
88;14;151420
89;1;0
89;2;22040
89;3;36744
89;4;52512
89;5;64724
89;6;77840
89;7;87884
89;8;99184
89;9;109224
89;10;119336
89;11;128040
89;12;137296
89;13;140356
89;14;141024
90;1;0
90;2;19280
90;3;32488
90;4;47284
90;5;58592
90;6;71064
90;7;80744
90;8;91832
90;9;101380
90;10;111664
90;11;114304
90;12;116680
91;1;0
91;2;23052
91;3;37636
91;4;53960
91;5;66024
91;6;79480
91;7;89460
91;8;101096
91;9;111040
91;10;121424
91;11;130048
91;12;140368
92;1;0
92;2;23288
92;3;37948
92;4;54440
92;5;66464
92;6;80096
92;7;89972
92;8;101584
92;9;111460
92;10;121844
92;11;130376
92;12;139804
92;13;142544
92;14;143740
93;1;0
93;2;29548
93;3;46236
93;4;64452
93;5;77412
93;6;91848
93;7;102392
93;8;114608
93;9;124940
93;10;135696
93;11;144576
93;12;154332
94;1;0
94;2;25584
94;3;40800
94;4;58028
94;5;70132
94;6;84008
94;7;94144
94;8;106128
94;9;116064
94;10;126848
94;11;135408
94;12;145200
95;1;0
95;2;26616
95;3;41900
95;4;59536
95;5;71672
95;6;86376
95;7;96304
95;8;109204
95;9;119108
95;10;130560
95;11;139236
95;12;149540
95;13;153412
96;1;0
96;2;1388
96;3;12888
96;4;36044
96;5;49184
96;6;65860
96;7;76872
96;8;90756
96;9;100040
96;10;112048
96;11;121472
96;12;132156
96;13;140312
96;14;150184
96;15;152424
96;16;154152

