"Tirada";"Interrupt";"t"
91;4;63364
91;5;77988
91;6;90776
91;7;103240
91;8;114044
91;9;125868
91;10;135364
91;11;145568
91;12;154108
92;1;196
92;2;24928
92;3;43792
92;4;59412
92;5;73632
92;6;86132
92;7;98504
92;8;109148
92;9;120880
92;10;130200
92;11;140424
92;12;148816
93;1;164
93;2;24632
93;3;43692
93;4;59224
93;5;73684
93;6;86096
93;7;98368
93;8;108940
93;9;120636
93;10;130012
93;11;140064
93;12;148468
94;1;196
94;2;29376
94;3;49996
94;4;66624
94;5;81636
94;6;94588
94;7;107088
94;8;118060
94;9;129976
94;10;139532
94;11;149780
94;12;158428
95;1;236
95;2;30596
95;3;51444
95;4;68284
95;5;83400
95;6;96488
95;7;109120
95;8;120080
95;9;132140
95;10;141688
95;11;152068
95;12;160712
96;1;192
96;2;26296
96;3;45696
96;4;61668
96;5;75996
96;6;88648
96;7;101032
96;8;111760
96;9;123400
96;10;132932
96;11;142836
96;12;151380
97;1;200
97;2;29200
97;3;49744
97;4;66360
97;5;81432
97;6;94416
97;7;106920
97;8;117884
97;9;129796
97;10;139380
97;11;149612
97;12;158300
98;1;204
98;2;28572
98;3;48800
98;4;65252
98;5;80180
98;6;93076
98;7;105540
98;8;116484
98;9;128388
98;10;137900
98;11;148168
98;12;156784
99;1;204
99;2;26928
99;3;46292
99;4;62488
99;5;76904
99;6;89736
99;7;102132
99;8;112968
99;9;124688
99;10;134264
99;11;144312
99;12;152884
100;1;164
100;2;26040
100;3;44912
100;4;60928
100;5;75232
100;6;87932
100;7;100320
100;8;111132
100;9;122896
100;10;132368
100;11;142548
100;12;151080
101;1;288
101;2;32720
101;3;53640
101;4;70904
101;5;85748
101;6;99176
101;7;111884
101;8;123088
101;9;135048
101;10;145028
101;11;155268
101;12;164128
102;1;196
102;2;24904
102;3;43312
102;4;59092
102;5;73028
102;6;85632
102;7;97840
102;8;108556
102;9;120124
102;10;129524
102;11;139600
102;12;148096
103;1;236
103;2;29016
103;3;49184
103;4;65764
103;5;80504
103;6;93476
103;7;105980
103;8;116924
103;9;128748
103;10;138440
103;11;148572
103;12;157220
104;1;244
104;2;26828
104;3;45936
